CGPA,Skills,Internships,Projects,Certifications,Placed
9.59,1,1,4,2,0
5.68,1,3,9,1,0
9.75,4,2,6,5,1
7.23,4,2,8,0,0
5.93,2,0,8,5,1
7.71,9,5,7,3,1
9.36,9,0,3,3,1
8.66,2,5,10,3,1
9.03,9,1,1,1,0
8.29,6,4,5,4,1
8.46,8,3,10,1,1
9.25,10,2,10,0,1
6.25,4,0,2,1,0
7.45,2,3,10,3,1
6.11,2,5,2,2,0
9.94,9,4,7,0,1
9.72,1,2,3,5,1
5.2,7,2,8,2,0
8.53,3,5,9,0,0
9.63,3,4,8,0,1
5.9,2,2,6,3,1
7.84,10,4,5,5,0
9.58,6,2,3,1,1
5.17,10,1,3,5,1
8.49,2,5,7,3,1
6.49,10,4,5,3,1
9.62,4,3,6,3,0
9.86,10,1,6,2,0
9.72,9,3,9,5,1
7.37,9,5,1,5,0
9.31,6,2,8,0,1
9.22,4,3,10,4,1
6.6,7,1,5,1,0
9.14,1,4,6,3,1
5.19,4,0,6,5,0
7.98,5,3,1,5,1
6.15,8,0,3,0,1
5.6,2,5,6,1,1
5.38,5,3,9,4,1
8.48,6,3,6,4,1
6.7,5,4,6,3,1
8.62,9,2,1,4,0
5.33,10,1,9,4,1
6.58,1,1,4,1,0
7.7,3,1,2,1,0
8.95,2,5,1,3,0
6.59,3,2,3,5,0
8.13,10,0,3,0,1
9.43,9,1,5,3,0
8.08,9,0,1,2,1
6.16,10,2,7,4,1
5.12,2,5,1,0,0
9.35,3,2,4,5,1
5.11,4,4,6,5,1
9.37,9,1,1,1,1
7.64,3,5,7,2,0
9.7,7,4,10,5,1
8.99,3,1,7,2,0
9.99,7,2,3,4,1
6.75,7,2,4,1,0
8.84,9,3,6,0,1
7.01,2,3,7,1,1
7.4,6,2,4,4,1
8.14,9,2,10,5,1
9.37,2,0,9,2,0
9.92,2,0,9,4,1
8.84,5,4,9,5,1
7.09,10,3,10,3,0
7.11,10,3,6,2,1
8.69,10,2,2,4,0
6.19,8,2,2,0,1
5.55,9,4,4,0,1
6.77,2,5,9,5,1
6.44,5,5,3,5,1
6.48,7,5,6,0,1
6.17,6,3,2,3,0
5.21,6,0,1,1,1
5.09,7,5,5,0,0
9.94,3,1,8,5,0
7.14,3,4,10,5,0
6.92,10,5,10,3,1
8.4,9,1,2,0,0
6.09,8,5,10,3,1
9.75,5,0,9,0,0
8.93,6,0,8,1,0
5.45,10,5,3,4,1
7.09,1,1,1,0,0
9.4,10,4,4,4,0
9.72,1,1,8,0,1
7.34,4,4,3,1,1
8.07,2,5,10,5,1
5.84,7,4,2,4,1
9.96,2,2,7,3,1
6.16,10,3,4,0,1
9.71,2,3,6,5,1
8.25,5,0,5,0,0
8.04,4,2,2,3,1
7.56,8,3,10,1,1
6.15,4,5,2,2,1
5.88,6,4,9,0,1
6.1,5,4,10,3,0
5.93,2,1,2,2,1
8.9,8,1,8,0,1
6.75,2,4,8,4,1
5.29,9,5,1,5,0
9.85,9,4,1,5,1
9.42,3,1,4,3,1
9.64,4,3,2,4,1
9.97,8,0,1,1,0
5.87,9,1,9,2,1
6.98,3,5,3,3,1
8.79,5,3,1,0,1
8.48,8,3,2,5,1
5.77,3,3,8,0,0
9.08,7,2,5,2,1
6.12,8,2,7,4,0
6.12,10,3,6,4,1
7.68,3,5,1,3,1
7.96,2,4,6,3,1
7.9,10,5,7,4,1
5.46,7,2,4,3,1
9.39,9,1,8,4,1
6.33,1,2,8,2,0
5.65,3,4,7,3,1
9.44,5,0,2,4,0
9.78,3,2,6,3,1
9.31,1,5,6,0,1
9.05,7,5,7,5,1
8.28,7,3,6,0,1
7.75,10,3,2,1,0
5.43,8,3,8,4,1
7.04,5,0,4,1,0
6.86,10,4,9,4,0
6.3,5,1,8,5,0
8.62,5,5,3,3,1
7.48,1,5,3,4,1
5.41,10,4,8,0,1
6.1,5,0,2,3,1
8.42,6,3,9,5,0
5.38,1,4,4,0,0
9.26,7,1,6,3,1
7.48,1,3,3,4,0
7.4,2,1,3,4,0
7.96,2,2,3,0,1
9.12,5,1,10,2,1
6.74,10,3,2,4,1
8.39,7,2,8,2,1
7.83,1,3,9,3,1
6.34,10,5,8,2,1
9.39,1,3,10,0,0
8.99,1,2,3,1,1
8.29,6,1,7,1,1
9.25,2,5,10,0,1
9.34,1,0,2,1,1
8.54,6,0,4,0,1
9.19,2,0,6,4,1
8.49,6,0,5,2,1
8.4,10,4,9,1,1
8.09,8,0,10,4,0
8.76,2,2,4,1,1
5.79,9,0,5,3,0
9.4,8,3,4,0,0
9.36,10,0,8,0,1
5.15,1,1,8,4,1
9.13,7,2,3,3,1
5.64,10,2,1,2,1
6.68,6,5,6,3,1
8.72,6,4,2,3,1
5.8,6,3,2,5,1
9.09,6,2,3,2,0
9.16,10,1,8,2,0
7.54,7,0,3,3,1
5.03,3,2,7,1,0
6.44,6,1,10,5,1
8.08,3,0,10,1,0
9.91,7,4,9,3,1
8.16,7,2,8,1,0
6.3,8,2,1,2,0
8.17,2,1,7,2,0
7.7,9,5,7,1,0
8.9,5,3,8,2,0
5.53,9,4,10,0,1
8.81,10,3,5,2,1
7.71,5,2,10,3,0
9.81,7,3,9,4,0
6.71,9,0,9,1,1
8.16,4,4,8,5,1
9.66,2,3,6,1,0
5.51,9,0,6,2,1
9.69,2,1,1,2,1
8.44,3,3,6,4,1
5.34,10,4,4,4,0
6.5,2,0,4,5,0
8.54,3,3,2,3,0
5.34,6,1,4,0,0
7.91,3,3,5,3,0
6.73,10,0,5,5,0
8.1,8,3,5,1,1
5.23,6,4,4,2,0
9.36,7,2,1,3,1
9.87,1,0,10,2,1
9.84,3,0,8,2,0
8.75,3,0,3,3,1
5.65,2,0,2,3,1
8.79,7,3,9,4,1
5.12,9,4,7,5,1
5.11,4,1,9,5,1
6.62,5,4,2,0,1
7.44,3,0,9,4,1
8.85,9,5,10,0,1
8.42,4,3,9,3,0
7.23,5,5,9,5,1
6.37,1,3,10,5,1
9.99,2,0,10,0,0
7.13,9,3,4,1,1
7.26,2,0,10,4,1
5.82,5,4,3,4,1
8.97,8,2,6,4,0
8.47,3,3,3,5,1
6.1,6,0,9,2,1
5.41,4,5,3,5,0
8.4,7,0,2,2,1
8.27,10,5,8,5,1
6.37,3,3,6,3,1
9.75,6,1,8,5,1
5.76,10,5,7,3,1
7.16,9,0,3,2,1
9.72,10,3,8,4,1
7.1,1,0,10,2,1
8.19,3,1,1,0,0
6.99,2,2,1,4,0
6.37,8,1,10,5,1
9.92,7,4,8,5,1
7.05,2,3,9,5,0
9.47,6,1,10,5,1
6.15,3,2,6,5,0
6.07,8,0,5,2,1
5.16,10,3,2,3,1
8.26,3,5,9,2,1
6.84,10,1,6,1,0
9.32,9,2,8,2,0
7.37,1,1,9,4,0
9.84,5,4,9,5,1
5.93,3,3,8,2,0
9.34,6,0,10,3,1
8.88,10,2,8,5,1
8.85,2,1,3,0,0
9.22,9,3,3,1,1
8.81,6,1,2,4,1
8.13,7,3,1,3,0
5.66,5,4,4,1,1
5.16,9,1,2,2,1
9.6,1,4,2,1,1
8.08,5,5,5,5,0
8.98,10,5,4,5,1
7.41,6,2,1,0,0
5.59,7,4,9,1,1
5.63,4,3,4,1,1
8.43,1,2,5,5,1
7.15,8,1,7,2,1
6.0,10,1,2,2,1
7.46,4,3,8,4,1
5.32,3,0,2,2,0
7.91,7,0,10,1,1
6.34,2,1,5,0,1
8.99,8,3,2,2,0
6.55,6,0,2,5,1
7.28,7,4,4,5,1
5.06,5,1,4,4,1
5.36,9,5,8,4,0
6.96,5,4,6,1,0
7.4,5,3,10,2,1
8.0,3,5,8,2,1
6.46,1,4,7,4,0
8.47,2,0,10,2,0
9.3,8,0,4,1,1
8.9,1,5,2,0,0
5.2,7,2,9,5,0
7.4,5,1,2,1,0
5.52,3,5,1,2,0
6.21,7,3,8,1,1
9.93,9,1,10,5,1
5.71,2,4,9,3,0
7.49,8,3,1,5,1
8.09,9,3,7,5,0
8.51,3,0,2,3,1
7.8,2,4,6,2,1
5.05,7,0,5,2,1
6.63,5,0,1,0,1
7.59,5,2,2,5,1
5.44,10,0,2,1,0
6.75,5,1,10,0,1
5.17,4,3,10,2,1
5.39,5,0,6,2,0
6.98,4,5,1,4,1
5.66,6,1,4,0,0
7.84,4,4,10,2,0
8.45,2,3,5,3,1
9.0,9,5,2,4,0
6.0,2,5,2,1,1
5.84,9,4,7,4,0
5.52,10,5,7,5,1
8.18,6,1,6,5,0
8.53,9,4,1,1,1
5.16,9,5,3,3,1
9.68,3,4,9,1,0
5.26,1,4,10,0,1
7.71,1,0,1,1,1
8.55,3,0,2,1,1
9.35,5,0,8,4,1
8.57,3,5,7,3,1
9.01,9,3,9,1,1
6.7,9,1,10,0,1
9.07,3,5,4,4,0
5.4,3,0,4,3,0
9.47,5,4,7,3,1
7.74,2,5,1,2,1
9.09,6,4,10,5,1
7.26,7,4,9,0,1
8.22,9,4,2,5,1
7.63,6,2,1,4,1
8.66,3,3,7,4,0
5.41,5,1,6,0,1
5.3,4,1,3,3,0
6.24,5,0,1,1,0
5.8,8,2,5,0,0
9.36,8,5,10,4,1
6.1,6,5,4,5,1
9.88,1,1,5,0,1
6.68,8,3,1,3,1
5.91,8,4,1,2,1
8.95,2,0,5,2,1
8.29,4,3,6,1,1
7.49,2,1,5,1,1
7.78,4,2,2,3,1
8.6,10,0,9,5,1
6.14,7,1,5,1,0
9.98,9,5,5,2,1
9.87,8,0,10,3,0
8.25,9,1,9,3,1
6.0,8,5,3,3,0
8.4,2,5,5,0,1
5.36,7,4,5,5,1
5.15,2,2,2,5,1
6.29,2,4,4,1,1
7.31,4,1,2,5,1
9.34,1,3,5,4,0
8.64,5,4,10,2,1
8.71,6,3,2,1,1
7.13,9,5,10,5,1
6.73,10,1,9,2,1
6.86,8,2,10,1,1
9.94,2,3,6,4,0
5.2,1,1,8,2,1
9.34,2,3,9,4,1
7.89,7,4,8,2,0
7.19,4,1,5,0,1
8.63,10,4,5,0,1
7.43,5,0,6,2,0
9.37,7,1,1,2,0
9.5,3,3,8,4,1
7.11,10,0,2,5,1
6.38,2,4,6,3,0
7.96,7,4,9,2,1
9.56,5,3,3,1,1
6.05,1,0,2,1,0
8.11,1,5,10,1,0
8.16,9,2,5,0,0
8.67,5,3,9,5,1
5.66,1,4,6,4,1
8.58,7,1,8,5,1
9.55,9,0,8,0,1
5.9,1,5,7,5,0
6.19,10,2,5,5,1
9.86,4,1,2,1,0
5.9,3,0,10,2,0
9.27,5,5,10,1,1
7.46,7,3,5,5,0
6.24,8,5,7,2,1
9.35,2,3,7,4,1
7.23,7,0,2,3,1
7.57,1,5,7,2,0
6.8,7,2,6,0,0
7.96,8,5,7,1,1
5.82,2,0,8,1,0
6.96,9,1,4,5,0
9.85,1,1,1,5,0
6.29,6,5,8,5,1
8.28,1,5,8,5,1
6.63,3,3,3,1,1
8.87,6,0,3,2,0
5.65,3,3,5,4,1
9.85,8,2,3,2,0
7.27,5,1,5,0,1
6.18,2,4,8,1,1
5.37,4,4,1,2,0
5.85,9,0,2,1,1
7.6,4,0,2,0,1
6.69,10,4,4,3,1
9.14,10,0,9,3,1
7.15,8,1,2,3,1
6.24,5,2,9,1,0
8.09,10,2,7,2,1
8.53,1,3,10,1,0
5.84,7,1,8,4,1
5.84,3,0,1,2,0
5.18,10,0,5,0,0
8.68,8,3,9,5,1
8.32,3,3,4,3,0
7.37,1,0,2,2,1
9.22,5,0,6,2,1
9.03,2,1,2,3,0
7.93,4,3,3,0,0
9.34,1,1,8,1,1
6.03,9,5,3,1,1
5.56,6,0,2,5,1
6.35,8,4,6,2,0
5.29,4,4,3,3,0
7.66,9,5,1,4,1
9.68,2,0,3,0,1
5.2,9,3,6,1,1
5.61,5,4,3,0,1
7.26,6,3,9,0,0
9.67,3,4,7,5,1
6.58,4,3,5,0,1
7.54,6,4,2,3,1
5.21,7,3,9,5,1
5.74,1,5,5,3,1
9.93,7,1,7,5,1
9.83,1,3,9,3,0
5.02,5,1,4,5,1
9.76,6,1,9,5,1
8.2,2,0,1,2,0
9.34,10,5,6,3,1
7.27,9,1,2,2,1
7.58,10,2,8,5,1
7.44,6,1,5,1,0
8.33,7,3,3,5,1
5.7,10,1,2,1,0
5.15,8,3,8,1,0
6.54,10,3,7,1,1
8.52,1,2,9,1,1
6.01,8,1,8,3,1
8.37,4,1,4,4,1
9.85,10,4,2,3,1
5.47,8,4,2,4,0
8.36,6,0,2,3,1
7.22,9,3,6,1,1
9.34,4,2,7,0,0
5.89,2,4,6,5,0
8.46,2,1,2,4,0
9.19,5,0,4,0,1
9.72,10,2,3,1,1
8.42,9,5,4,4,1
7.49,3,1,5,0,0
8.09,8,1,7,3,0
9.34,4,5,9,1,1
7.85,6,3,2,3,1
5.15,10,3,8,3,1
9.65,6,4,3,1,1
8.45,3,4,9,4,1
8.38,5,1,10,5,1
6.08,3,1,4,2,0
8.29,1,4,3,2,1
6.97,7,5,10,5,1
8.26,4,4,6,1,0
5.53,7,1,10,2,1
8.29,3,2,9,5,1
10.0,5,1,7,0,1
5.24,5,2,4,5,1
9.89,2,2,3,4,0
7.03,10,1,10,5,1
9.35,2,0,4,3,0
8.91,4,4,3,3,1
7.84,4,3,3,1,0
8.69,4,1,9,3,1
9.39,6,2,4,0,1
7.02,2,1,9,5,1
6.64,6,4,10,0,1
8.34,7,5,5,1,1
9.04,10,2,7,3,1
8.81,3,3,5,2,0
8.99,8,3,1,5,1
7.18,2,3,2,2,0
9.09,8,5,5,4,1
5.6,5,0,6,1,1
7.72,2,2,7,4,1
5.03,7,5,2,2,1
6.62,2,2,10,2,1
6.83,6,5,9,2,0
6.98,10,5,6,4,1
8.48,3,0,2,1,0
6.94,9,2,2,5,1
7.24,3,5,3,5,1
6.19,3,0,1,0,0
6.87,5,1,9,0,1
6.14,7,4,10,2,1
5.37,8,5,4,1,1
8.02,7,3,5,1,1
8.34,9,0,7,3,1
8.1,5,0,1,3,0
7.32,10,5,3,4,1
6.9,3,0,3,3,0
9.32,6,1,2,5,0
7.6,5,0,8,5,0
7.4,4,4,5,4,1
5.13,2,4,1,0,0
6.71,7,3,2,2,1
6.9,5,1,1,1,0
6.99,4,4,6,0,0
7.9,8,5,9,5,1
7.67,9,2,7,0,0
8.04,9,2,5,4,1
8.82,3,2,3,2,0
9.06,3,5,8,5,1
8.59,5,0,10,4,1
9.78,5,5,4,0,1
5.09,10,0,9,1,0
5.98,2,2,5,3,0
5.04,1,3,6,4,1
8.24,8,3,5,5,1
9.49,3,0,10,0,1
6.22,1,2,7,3,0
9.64,1,5,7,3,0
5.3,2,3,1,0,1
9.67,6,0,2,2,1
6.76,6,5,7,0,0
5.51,3,2,8,5,0
7.43,4,1,4,1,0
6.28,2,2,6,5,0
6.42,2,2,10,3,1
6.54,7,5,3,1,1
9.02,1,5,7,4,1
7.7,7,4,3,3,1
6.56,1,4,7,2,0
8.05,6,5,8,0,1
8.58,3,5,3,4,1
6.36,8,1,2,5,1
7.07,6,1,6,1,1
5.61,2,2,4,4,0
5.91,8,3,8,2,1
8.41,5,1,2,0,1
5.91,8,2,4,4,0
7.63,8,0,2,5,0
8.55,6,4,2,1,1
5.53,2,3,2,4,0
7.84,8,2,1,0,1
6.28,6,5,4,5,1
9.81,6,0,2,4,0
7.42,8,4,9,1,1
9.03,1,0,9,0,1
7.75,2,2,7,2,1
5.22,9,1,6,2,0
8.17,8,4,3,3,1
9.76,7,0,7,4,1
8.01,7,1,1,1,1
9.1,5,3,9,4,1
9.42,2,2,4,0,0
6.14,6,2,6,3,1
6.06,10,4,6,1,1
8.05,3,0,3,4,1
7.06,4,3,4,1,1
9.2,10,5,10,0,1
9.5,2,4,3,3,0
6.77,2,5,6,1,1
6.18,8,4,1,0,1
8.9,8,0,8,2,1
6.37,10,3,8,1,0
9.11,6,0,9,3,0
7.12,5,2,6,5,0
8.34,8,5,1,5,1
5.48,4,1,3,1,0
8.12,4,2,1,1,0
7.26,5,2,5,0,1
7.93,1,5,3,4,0
5.84,1,4,2,5,1
8.68,2,2,3,4,0
9.31,8,3,9,5,1
6.08,7,2,8,1,0
5.48,10,3,3,3,0
5.12,9,0,2,3,0
8.21,5,4,5,5,1
8.04,2,3,1,5,1
7.73,7,2,4,0,1
6.16,8,4,8,1,0
6.95,7,4,1,1,1
7.97,7,3,5,4,1
7.48,5,3,4,0,0
9.94,2,1,6,2,1
5.68,6,1,7,3,1
8.48,4,4,9,3,0
7.02,10,5,1,1,1
7.14,2,5,10,0,0
8.59,9,1,4,2,0
8.46,7,2,6,3,1
9.96,6,0,10,0,0
5.64,5,4,7,2,1
5.52,3,0,7,5,0
8.62,10,1,8,1,1
7.89,10,3,10,4,1
6.37,4,4,8,3,1
5.4,3,1,8,3,0
5.43,8,2,8,2,1
9.47,3,4,8,4,1
5.96,7,4,6,5,0
6.62,7,5,9,0,1
6.13,7,3,3,1,1
6.77,7,4,6,0,1
5.35,2,3,5,2,0
7.6,10,1,8,3,1
5.34,3,2,4,5,0
9.0,10,2,4,3,0
6.17,9,4,10,0,1
7.7,3,4,10,5,1
9.4,2,1,5,1,0
8.25,9,5,6,2,1
7.66,10,5,4,1,1
6.62,9,5,2,2,1
6.67,4,3,2,1,1
8.35,9,5,3,0,0
9.97,3,2,2,4,0
8.31,7,3,1,5,1
7.79,7,1,8,2,0
8.65,8,2,5,0,1
7.33,10,2,10,3,1
5.3,4,0,1,3,0
7.81,3,1,9,1,1
9.79,3,1,8,3,1
5.88,5,0,4,4,1
8.45,1,3,8,2,1
6.0,10,5,10,1,1
7.68,3,5,7,2,0
5.48,6,5,7,2,0
7.25,3,5,1,0,0
8.78,5,5,6,3,1
6.74,9,0,4,5,1
8.32,2,1,10,2,1
8.98,2,3,10,4,0
9.64,6,2,10,4,1
6.17,6,5,2,5,1
7.0,8,0,10,3,1
5.76,2,3,7,3,0
9.96,9,3,9,1,1
9.64,2,3,5,1,0
7.7,1,0,8,1,1
9.21,10,2,5,3,1
7.6,2,5,7,2,0
8.12,7,3,7,0,1
5.45,8,0,9,5,0
8.78,5,1,3,5,0
5.64,6,0,1,5,1
9.13,1,0,2,1,1
8.91,6,0,6,0,1
8.54,8,3,10,4,1
5.18,3,0,10,3,0
6.52,1,1,9,4,1
6.32,4,3,3,1,1
6.8,1,1,10,2,0
5.44,8,4,2,1,1
9.68,5,0,1,0,0
7.77,1,5,2,1,1
6.53,8,5,3,5,1
6.98,9,3,7,2,1
7.24,10,5,2,2,0
8.0,2,3,5,3,0
7.58,9,0,2,3,0
9.6,8,2,7,5,1
7.48,7,2,10,2,1
9.96,3,1,8,5,0
9.26,2,0,8,2,1
6.04,7,5,8,0,1
9.65,5,0,10,1,1
5.58,6,4,9,3,1
9.09,4,2,1,0,1
6.9,2,5,1,1,0
9.39,9,2,10,3,1
9.34,3,0,2,5,1
9.03,7,5,6,0,1
8.95,8,1,1,4,1
6.52,2,0,5,4,1
5.4,6,1,5,3,0
7.01,8,5,4,0,1
5.87,7,2,5,1,1
8.47,3,4,1,1,0
6.73,1,3,6,0,1
9.88,6,2,7,4,1
8.2,8,1,8,0,1
9.11,6,0,2,4,0
5.66,5,5,7,4,1
9.31,8,2,6,5,1
9.61,2,4,9,5,1
7.44,1,5,8,1,1
8.03,1,1,4,3,0
8.82,4,5,9,2,1
5.87,6,5,1,0,0
7.51,9,0,6,4,1
6.99,1,3,8,0,0
5.73,1,1,4,3,0
6.84,5,0,2,3,0
5.34,10,3,2,2,0
5.13,5,0,10,2,0
5.68,5,3,1,4,1
9.82,10,3,5,5,1
7.75,6,3,6,2,1
9.83,8,0,4,5,1
7.16,3,5,4,5,1
6.56,9,3,5,4,1
7.53,1,5,5,1,0
7.2,4,1,9,5,1
5.53,9,4,8,4,0
8.2,8,5,9,2,1
6.08,10,4,3,0,0
8.1,9,3,3,2,1
8.25,1,4,1,3,0
5.76,9,4,10,2,0
5.31,3,3,6,1,1
8.9,10,5,4,4,1
7.3,9,3,8,5,1
5.29,1,1,2,3,1
9.97,1,2,2,4,0
5.29,9,0,7,4,1
8.48,6,3,5,5,1
9.92,4,3,1,2,1
6.2,7,4,7,0,1
5.71,5,1,7,3,1
5.61,10,4,10,5,1
6.52,7,5,6,1,1
5.51,8,3,4,1,0
8.46,8,3,8,0,1
5.31,1,4,2,0,1
7.55,8,3,2,2,1
9.98,6,5,2,1,1
9.07,4,2,3,3,1
8.08,8,0,6,5,1
6.53,3,0,1,0,1
8.12,4,0,2,0,1
7.64,6,2,10,0,1
7.13,7,3,2,5,0
5.65,4,4,1,3,1
9.43,4,1,3,1,0
7.25,7,3,10,3,1
5.97,6,2,7,5,0
6.84,8,5,1,3,0
7.07,1,2,7,2,1
9.14,10,0,5,5,1
8.67,7,3,9,0,1
8.85,7,0,2,1,0
5.06,7,1,1,2,1
7.08,7,5,9,2,1
7.41,10,0,8,5,1
5.1,10,1,10,4,1
6.3,8,2,6,0,1
8.8,9,0,5,1,1
5.69,9,0,8,1,0
7.68,2,4,8,1,1
6.08,7,5,5,5,1
5.06,7,5,7,0,1
6.21,4,2,1,5,0
9.88,9,4,4,1,1
9.01,8,1,2,3,1
9.8,1,1,10,3,0
7.44,2,2,3,0,0
5.55,2,5,1,1,1
7.74,8,1,2,5,1
7.27,1,2,1,4,1
9.22,4,1,8,4,1
5.49,10,3,4,4,0
7.44,5,0,3,3,0
5.75,9,5,1,5,1
6.62,7,3,2,4,0
8.69,8,2,3,1,1
7.38,9,2,3,1,0
6.88,7,3,6,4,1
6.97,5,0,10,2,0
7.3,5,0,8,4,0
8.93,10,4,6,2,1
9.46,6,1,2,0,0
9.78,5,4,2,0,0
8.93,9,0,7,1,0
6.58,3,3,1,5,1
8.44,3,1,1,3,0
7.19,7,3,7,5,1
6.27,7,4,9,1,1
9.2,6,2,5,1,1
5.19,3,3,1,5,0
9.51,7,4,5,3,1
7.31,5,4,1,1,1
8.19,7,4,10,3,1
8.3,2,2,9,1,1
9.48,6,2,4,0,0
8.18,8,2,9,2,1
8.07,1,1,2,1,0
5.33,4,2,7,2,1
7.59,1,2,2,4,0
5.75,1,2,4,1,1
8.69,10,3,6,0,1
7.56,8,2,2,3,0
8.4,7,1,2,0,1
5.21,10,4,2,2,0
5.42,1,3,3,3,0
8.58,2,0,5,0,0
5.36,4,2,9,0,0
5.36,1,4,6,0,0
5.06,3,4,9,5,0
9.78,8,3,10,3,1
8.69,8,0,5,0,0
6.77,8,5,6,0,0
6.48,6,1,10,2,0
6.75,6,5,8,0,1
8.87,5,4,3,0,1
8.31,9,5,2,4,0
5.93,4,4,3,3,0
5.87,10,5,9,4,1
5.49,7,4,6,5,1
8.3,1,4,10,2,1
8.82,9,3,4,4,0
6.33,7,0,10,5,1
5.1,10,4,3,1,1
5.41,9,1,2,3,0
9.84,7,1,4,0,0
6.48,2,2,9,4,0
8.85,6,4,4,4,1
8.12,10,4,5,0,1
6.91,4,4,8,0,0
6.03,3,5,2,2,1
5.61,2,4,3,4,1
8.08,6,4,6,4,0
8.87,8,1,7,1,1
8.22,6,0,4,5,0
7.65,9,0,1,1,1
5.21,5,2,7,4,1
9.84,2,1,9,1,0
8.99,8,4,1,4,1
6.46,9,0,1,3,1
9.9,10,3,1,2,1
8.01,4,3,10,1,1
7.91,6,3,7,4,0
8.74,10,4,9,1,1
9.06,8,4,3,5,1
8.28,9,2,8,2,1
5.64,5,2,9,3,1
6.69,6,2,3,0,1
9.64,4,5,3,0,0
6.12,5,3,1,1,0
6.86,7,4,2,4,0
7.16,9,3,7,5,1
7.2,10,2,3,2,1
8.06,6,4,7,3,1
9.72,6,1,5,3,1
6.2,8,0,10,3,0
5.61,4,0,8,0,1
5.99,3,2,5,2,0
9.43,7,3,3,0,0
8.23,5,1,9,1,1
6.43,2,4,7,3,1
9.08,2,3,5,2,0
9.31,6,2,7,3,1
9.23,8,3,10,0,1
9.59,1,2,9,0,1
6.26,6,5,5,0,0
8.78,2,0,7,3,1
7.3,2,0,9,2,1
9.21,7,3,1,2,0
8.64,10,1,4,1,1
8.88,1,4,1,3,0
8.28,6,2,8,1,0
5.89,7,4,3,5,1
7.73,8,0,2,1,1
9.92,7,1,4,1,1
9.69,6,1,3,1,0
5.22,9,4,5,0,1
5.82,3,0,8,5,1
5.66,6,4,10,1,1
8.63,4,3,8,2,0
9.09,2,1,7,1,1
6.07,1,1,8,0,0
7.53,1,3,5,4,0
9.2,10,0,10,5,1
8.66,3,1,10,4,0
7.71,4,5,6,4,0
7.95,2,5,8,5,0
7.54,1,5,1,3,0
6.49,4,2,6,2,1
7.83,7,2,6,0,0
8.44,10,0,5,5,1
9.37,6,3,4,4,1
8.18,6,4,1,0,0
8.81,9,0,10,0,1
5.8,2,4,8,3,0
7.31,4,0,6,4,0
5.05,5,2,3,1,0
6.23,1,5,3,0,1
8.63,8,3,6,4,1
9.96,8,2,7,0,1
5.5,6,3,8,3,1
7.01,5,4,5,3,1
9.0,8,0,10,1,0
6.02,3,1,6,3,1
7.78,3,1,1,4,1
8.67,2,3,6,5,1
8.08,5,5,9,3,1
5.94,3,5,10,5,1
6.78,3,3,4,1,0
8.92,6,2,10,2,1
7.77,8,1,1,0,1
5.03,2,2,9,0,0
8.8,4,4,4,4,1
5.18,7,1,2,1,0
8.73,1,4,1,1,1
6.01,1,0,3,1,0
9.79,10,2,7,0,1
6.84,7,3,10,3,1
6.63,7,1,2,0,1
5.74,1,2,9,0,0
6.53,1,3,2,0,1
9.38,4,0,5,3,1
9.98,5,1,8,2,0
6.84,5,4,10,4,0
7.24,4,0,8,2,0
8.61,8,5,3,2,1
9.43,7,3,2,0,0
7.97,9,1,9,2,1
6.96,7,1,3,0,0
7.06,10,0,8,0,1
8.48,1,1,2,4,1
5.02,7,3,3,1,0
8.1,1,0,1,0,0
6.78,7,4,6,2,0
8.97,10,0,7,4,1
5.46,8,0,4,5,0
7.94,9,4,1,5,1
7.4,3,5,3,5,0
8.21,4,3,9,2,1
5.32,4,5,5,1,1
7.9,9,5,6,3,1
7.81,7,5,4,1,0
7.8,3,2,1,4,1
8.02,10,5,5,1,1
8.38,5,2,5,5,1
9.02,7,4,5,1,1
6.35,8,3,6,4,0
9.13,1,5,2,4,0
7.49,2,1,1,5,0
5.39,7,4,2,2,1
5.29,2,2,10,0,1
6.67,7,3,6,3,0
8.92,9,0,5,3,1
8.54,2,3,5,5,0
8.94,7,3,6,3,1
7.59,4,5,10,1,1
7.2,2,5,7,4,1
5.74,7,2,9,4,0
6.64,5,2,7,5,0
7.17,1,5,2,4,1
5.44,5,5,6,0,1
6.1,3,1,9,4,1
7.99,7,1,7,4,0
8.68,6,4,2,1,0
9.99,8,5,3,2,1
9.67,5,0,8,3,1
8.21,2,1,9,1,0
7.11,9,2,4,1,0
8.18,8,3,9,1,1
8.93,6,4,2,3,1
5.59,10,1,5,5,0
7.05,7,3,2,1,0
9.2,9,3,1,2,1
6.92,7,1,5,5,1
7.86,3,0,2,4,1
7.94,6,0,7,2,0
5.92,7,4,8,5,0
6.81,2,0,2,4,0
6.67,3,4,7,4,1
5.13,4,2,4,1,0
5.12,10,1,1,1,0
9.16,6,3,3,3,0
6.37,1,4,1,0,1
7.59,9,0,5,2,1
6.49,5,4,8,3,0
9.7,7,5,1,3,1
6.3,9,4,9,2,1
7.15,9,0,3,5,1
9.36,1,5,5,2,1
9.21,1,5,9,4,1
5.93,3,0,5,0,0
9.01,6,5,9,5,1
7.29,2,1,10,1,0
7.41,10,3,8,0,1
5.67,1,1,7,0,0
5.4,1,1,1,1,1
8.64,5,0,4,0,0
7.48,4,0,9,5,1
7.18,1,3,10,5,1
8.65,4,4,8,5,0
8.83,3,1,4,3,1
5.79,2,5,1,3,1
8.05,9,3,10,5,1
5.68,1,1,4,1,0
